ingredients,allergies
แป้งเค้ก,แป้งสาลี
ไข่,ไข่
เนย,นม
โยเกิร์ต,นม
แป้งเค้ก,แป้งสาลี
นม,นม
นูกัต,"ถั่วเปลือกแข็ง,นม"
ครีม,นม
นม,นม
ซอสบาร์บีคิว,ถั่วเหลือง
เบเกิล,แป้งสาลี
ครีมชีส,นม
ขนมปัง,แป้งสาลี
ชีสพาร์เมซาน,นม
ช็อกโกแลตชิพ,"ถั่วเปลือกแข็ง,นม"
ช็อกโกแลตขาว,นม
ช็อกโกแลต,"นม,ถั่วเปลือกแข็ง"
ช็อกโกแลต,"นม,ถั่วเปลือกแข็ง"
ครีมวานิลลา,นม
แป้ง,แป้งสาลี
คัสตาร์ด,นม
แป้ง,แป้งสาลี
เม็ดมะม่วงหิมพานต์,ถั่วเปลือกแข็ง
ถั่วรวม,"ถั่วลิสง,ถั่วเปลือกแข็ง"
เพรทเซล,แป้งสาลี
โยเกิร์ต,นม
มอซซาเรลล่า,นม
เพสโต้,ถั่วเปลือกแข็ง
ขนมปัง,แป้งสาลี
ซอสซีซาร์,"ไข่,นม,ถั่วเปลือกแข็ง"
แป้งตอร์ติญ่า,แป้งสาลี
แฮม,นม
ชีส,นม
ไข่ต้ม,ไข่
ไข่,ไข่
น้ำปลา,ปลา
ขนมจีน,แป้งสาลี
ปลาทู,ปลา
กุ้ง,กุ้ง
ถั่ว,ถั่วลิสง
ปลาร้า,ปลา
น้ำพริกเผา,"ถั่วเปลือกแข็ง,ถั่วเหลือง"
บะหมี่กึ่งสำเร็จรูป,แป้งสาลี
ไข่ดาว,ไข่
น้ำจิ้มซีฟู้ด,แป้งสาลี
เส้นจันท์,แป้งสาลี
กุ้งแห้ง,กุ้ง
เต้าหู้,ถั่วเหลือง
ถั่วลิสง,ถั่วลิสง
ซอสผัดไทย,ถั่วเหลือง
กุ้ง,กุ้ง
ปลากระป๋อง,ปลา
เต้าหู้,ถั่วเหลือง
กุ้งสับ,กุ้ง
ปลาทู,ปลา
หมูยอ,ถั่วเหลือง
ไข่เป็ดต้ม,ไข่
ไส้กรอกไก่,ถั่วเหลือง
ปูอัด,ปู
ไก่ยอ,ถั่วเหลือง
หมูสามชั้น,ปลา
พริกไทย,ไข่
ไข่เป็ด,ไข่
เส้นเล็ก,แป้งสาลี
ปลาร้า,ปลา
กุ้งสด,กุ้ง
แป้งพิซซ่า,แป้งสาลี
ไส้กรอก,ถั่วเหลือง
เปปเปอโรนี,ถั่วเหลือง
ซอสสไตล์อิตาเลียน,ถั่วเหลือง
ชีสมอซซาเรลล่า,นม
ซอสพิซซ่า,ถั่วเหลือง
ขอบชีส,นม
ซอสเบอร์เกอร์,ถั่วเหลือง
ซอสเผ็ด,ถั่วเหลือง
ชีสฮอกไกโด,นม
ซอสครีม,นม
ซอสทาร์ทาร์,"ไข่,นม,ถั่วเหลือง"
เชดด้าชีส,นม
พาร์เมซานชีส,นม
ไข่กุ้ง,"ไข่,กุ้ง"
ซอสญี่ปุ่น,ถั่วเหลือง
พาสต้า,แป้งสาลี
มอซซาเรลล่า,นม
พาร์เมซาน,นม
บลูชีส,นม
ซาลามีเผ็ด,ถั่วเหลือง
ซอสคาโบนาร่า,"ไข่,นม,ถั่วเหลือง"
กุ้งกรอบ,กุ้ง
ซอสมายองเนส,"ไข่,นม"
ซอสบาร์บีคิวเผ็ด,ถั่วเหลือง
เชดด้า,นม
ฮอกไกโดชีส,นม
หอย,หอย
ซีฟู้ดรวม,"กุ้ง,ปลา,หอย,ปู"
ไก่เทริยากิ,ถั่วเหลือง
อาหารทะเล,"กุ้ง,ปลา,หอย,ปู"
ซอส,ถั่วเหลือง
ปลาชุบแป้งทอด,"ปลา,แป้งสาลี"
ซอสพริก,แป้งสาลี
ผักรวม,แป้งสาลี
แป้งพาสต้า,ถั่วเหลือง
ผักโขม,แป้งสาลี
ไก่ทอด,หอย
ซอสกระเทียม,แป้งสาลี
ปลาหมึก,ปลา
สาหร่าย,"ไข่,นม,ถั่วเหลือง"
ผักสด,"ไข่,นม,ถั่วเหลือง"
ซอสเทาซันด์ไอแลนด์,แป้งสาลี
น้ำสลัดซีซาร์,"ไข่,นม,ถั่วเหลือง"
ขนมปังกรอบ,แป้งสาลี
หอยลาย,หอย
ชาไทย,นม
ชาไต้หวัน,นม
โอวัลติน,นม
โอริโอ้,"แป้งสาลี,นม"
นมข้นหวาน,นม
โอริโอ้ครัมเบิ้ล,นม
ฟองนม,นม
สตรอวเบอร์รี่,นม
ไข่เค็ม,ไข่
ไข่เยี่ยวม้า,ไข่
ครีมชีส,นม
