restaurant_name,restaurant_location,restaurant_rating,restaurant_price_range,restaurant_latitude,restaurant_longitude,restaurant_location_link,restaurant_logo-src,restaurant_menu
Starbucks (สตาร์บัคส์),"3 อาคารรัจนาการ, ถนน สาทรใต้ ยานนาวา สาทร กรุงเทพมหานคร กรุงเทพมหานคร",5,,13.7209574,100.5295196,"https://www.google.com/maps/search/?api=1&query=13.7209574023734,100.52951959893107",https://img.wongnai.com/p/128x128/2024/04/17/f1b08878af3b45739250471b47db145d.jpg,
Starbucks (สตาร์บัคส์),"35/2, บางนา-ตราด หมู่ 12 บางแก้ว บางพลี สมุทรปราการ สมุทรปราการ (โรงพยาบาลพริ้นซ์ สวุวรรณภูมิ)",5,฿฿,13.6569925,100.6662314,"https://www.google.com/maps/search/?api=1&query=13.6569925,100.6662314",https://img.wongnai.com/p/128x128/2024/04/17/d1ad23a799ad44b881294036dbbdfcce.jpg,
Starbucks (สตาร์บัคส์),"-, ปทุมวัน ปทุมวัน กรุงเทพมหานคร กรุงเทพมหานคร (ร้าน Starbucks Coffee ชั้น 1 ใกล้ Ais)",4,฿฿,13.74627887,100.5326776,"https://www.google.com/maps/search/?api=1&query=13.746278867551059,100.53267756476998",https://img.wongnai.com/p/128x128/2024/04/17/33207fe47e19477e9c83e99dabf82cb6.jpg,
กะเพราถาดพริกแห้งสูตรคุณแม่(ใช้ข้าวหอมมะลิแท้ตราไดโนเสาร์),"45/331, หมู่บ้านลัลลี่วิลล์ คูคต ลำลูกกา ปทุมธานี ปทุมธานี (บ้านเดี่ยวซอยกลางเกือบท้ายซอยเลยสนามเด็กเล่นเข้ามา)",5,฿฿฿,13.97131409,100.6403565,"https://www.google.com/maps/search/?api=1&query=13.971314090001746,100.64035650206245",https://img.wongnai.com/p/128x128/2022/12/10/9318214ab9f84603ac9ec529d9965d7f.jpg,
Pizza Hut (พิซซ่าฮัท),1/4-5 ถนนสุขุมวิท 71 กรุงเทพมหานคร,4,฿,13.713543,100.59414,"https://www.google.com/maps/search/?api=1&query=13.713543,100.59414",https://img.wongnai.com/p/128x128/2023/12/12/49fe7649cc9944de9a8831ab05975cb1.jpg,
Starbucks (สตาร์บัคส์),"222, สายไหม สายไหม กรุงเทพมหานคร กรุงเทพมหานคร",4,฿฿,13.93253158,100.6561571,"https://www.google.com/maps/search/?api=1&query=13.932531584293638,100.65615708802339",https://img.wongnai.com/p/128x128/2024/04/17/7cb3cbd07864495daa09d6e515a874e1.jpg,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),"86/301 (ซอย14), กาญจนาภิเษก ดอกไม้ ประเวศ กรุงเทพมหานคร กรุงเทพมหานคร (หมู่บ้านมัณฑนา 4 (ซอย 14))",5,฿฿฿,13.69649558,100.6947512,"https://www.google.com/maps/search/?api=1&query=13.696495581660422,100.69475123211686",https://img.wongnai.com/p/128x128/2023/04/06/ea469523d68740349c4f7dcb34650303.jpg,
COCONUT มิสเตอร์พี,"1130, ถนนพหลโยธิน สายไหม สายไหม กรุงเทพมหานคร กรุงเทพมหานคร (ตลาดข้างอาคารกานต์มณี (ประตูกรุงเทพ))",5,฿,13.92748647,100.6274291,"https://www.google.com/maps/search/?api=1&query=13.927486473928518,100.6274291103283",https://img.wongnai.com/p/128x128/2023/07/04/e7fe6cf11ded4c02a7e0a542bd51c9c0.jpg,
โก๋ ก๋วยเตี๋ยวไก่ตุ๋น (Braised Chicken Noodle) สนามบินน้ำ,"99/127, สนามบินน้ำมาร์เก็ต ท่าทราย เมืองนนทบุรี นนทบุรี นนทบุรี",,฿,13.88080947,100.4969921,"https://www.google.com/maps/search/?api=1&query=13.880809472969,100.49699211493",https://img.wongnai.com/p/128x128/2023/10/15/7e5fc62ed90f460b92a57f1a6d536c13.jpg,
Starbucks (สตาร์บัคส์),"R543+HRV, ศีรษะทอง นครชัยศรี นครปฐม นครปฐม",4,,13.806625,100.154617,"https://www.google.com/maps/search/?api=1&query=13.806625,100.154617",https://img.wongnai.com/p/128x128/2024/04/17/24c383aa7dea45c087dd10220c313406.jpg,
โจ๊กเศรษฐี บางกรวย (by ข้าวกล่องเศรษฐี),"9, บางกรวย-ไทรน้อย บางกรวย บางกรวย นนทบุรี นนทบุรี (หน้าวัดสำโรง)",5,฿,13.8056343,100.4885585,"https://www.google.com/maps/search/?api=1&query=13.805634301785817,100.48855854867445",https://img.wongnai.com/p/128x128/2025/02/06/508f2827b98f40088dd627ed1af06284.jpg,
Starbucks (สตาร์บัคส์),"7/8, 14 บางแก้ว บางพลี สมุทรปราการ สมุทรปราการ",3.9,฿฿,13.659762,100.665466,"https://www.google.com/maps/search/?api=1&query=13.659762,100.665466",https://img.wongnai.com/p/128x128/2024/04/17/5eee76fc76e24b4ca4e70a378d568fa6.jpg,
Starbucks (สตาร์บัคส์),"-, ราชวิถี ทุ่งพญาไท ราชเทวี กรุงเทพมหานคร กรุงเทพมหานคร (มหาลัยมหิดล อาคารหอประชุม ราชพฤกษ์ คณะสาธารณสุขศาสตร์)",3.5,฿฿,13.76509831,100.533592,"https://www.google.com/maps/search/?api=1&query=13.76509831160257,100.53359198344612",https://img.wongnai.com/p/128x128/2024/04/17/2f56160140914406b714b055b322ad37.jpg,
Starbucks (สตาร์บัคส์),"120, พระราม2 แสมดำ บางขุนเทียน กรุงเทพมหานคร กรุงเทพมหานคร (ติดศาลเจ้าแม่งูจงอาง)",4.6,฿฿,13.66587272,100.443994,"https://www.google.com/maps/search/?api=1&query=13.665872721401126,100.44399401172996",https://img.wongnai.com/p/128x128/2024/04/17/af3468748d194870a75d52c08e76833d.jpg,
Starbucks (สตาร์บัคส์),"71/3, ซอยเศรษฐศิริ 2 สามเสนใน พญาไท กรุงเทพมหานคร กรุงเทพมหานคร",5,฿฿,13.7831974,100.5337002,"https://www.google.com/maps/search/?api=1&query=13.7831974,100.5337002",https://img.wongnai.com/p/128x128/2024/04/17/fafbed6b91914968bb5e69538d5387e7.jpg,
Pan Bagels (แพน เบเกิลส์),"192, ถ.กรุงธนบุรี คลองต้นไทร คลองสาน กรุงเทพมหานคร กรุงเทพมหานคร",4,฿฿,13.718924,100.5068317,"https://www.google.com/maps/search/?api=1&query=13.718924,100.5068317",https://img.wongnai.com/p/128x128/2025/01/07/b13401bbfbd745e0833539c518c0b853.jpg,
Starbucks (สตาร์บัคส์),"30/17, 4 อ้อมเกร็ด ปากเกร็ด นนทบุรี นนทบุรี (Lotus's north)",4.7,฿฿,13.9123047,100.4514863,"https://www.google.com/maps/search/?api=1&query=13.9123047,100.4514863",https://img.wongnai.com/p/128x128/2024/04/17/04874795d53e481c82ef7a5f1dd9de2c.jpg,
MOS BURGER (มอส เบอร์เกอร์),เลขที่ 3522 ศูนย์การค้าเดอะมอลล์ บางกะปิ ห้อง เลขที่ G46 ชั้น G ถ. ลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240 กรุงเทพมหานคร,4.5,฿฿฿฿,13.7657772,100.6429937,"https://www.google.com/maps/search/?api=1&query=13.76577720012881,100.64299373631617",https://img.wongnai.com/p/128x128/2024/12/26/9fbe217ca8eb4847958cc0923769c0d3.jpg,
Burger King (เบอร์เกอร์คิง),"60 อาคาร QSNCC, รัชดาภิเษก คลองเตย คลองเตย กรุงเทพมหานคร กรุงเทพมหานคร (ชั้น LG ติดกับร้านอเมซอน)",4,฿฿,13.72415486,100.5584402,"https://www.google.com/maps/search/?api=1&query=13.724154860197075,100.55844018235803",https://img.wongnai.com/p/128x128/2025/01/23/88a2f14f50b4423383fd805900ea97e8.jpg,
Thong Grill Hide & Shabu (ทองกริลฮิเดะ หมูกระทะแอนด์ชาบู),"124, สุขุมวิท 53 คลองตันเหนือ วัฒนา กรุงเทพมหานคร กรุงเทพมหานคร (ทองหล่อซอย 9 เลี้ยวซ้ายไป สุขุมวิท 53 ร้านมี 2 ชั้น)",,฿฿฿,13.73149661,100.57826,"https://www.google.com/maps/search/?api=1&query=13.73149660993362,100.57826002627677",https://img.wongnai.com/p/128x128/2025/01/26/e0da846478634ca5884e7e47e749858c.jpg,
Starbucks (สตาร์บัคส์),"232, ห้วยขวาง ห้วยขวาง กรุงเทพมหานคร กรุงเทพมหานคร (ศูนย์ฮอนด้า)",,฿฿,13.77987597,100.5740836,"https://www.google.com/maps/search/?api=1&query=13.779875966867335,100.57408355923931",https://img.wongnai.com/p/128x128/2024/04/17/459f0146c9b145d9b0f67769f0a6bedd.jpg,
Starbucks (สตาร์บัคส์),"1191, พระโขนง คลองเตย กรุงเทพมหานคร กรุงเทพมหานคร (Major cineplex)",4.5,฿฿,13.721341,100.583128,"https://www.google.com/maps/search/?api=1&query=13.721341,100.583128",https://img.wongnai.com/p/128x128/2024/04/17/5e90970a5d604d8eb3d9a5fcceaed91a.jpg,
Pizza Hut (พิซซ่าฮัท),"14/5, ถนน ราชพฤกษ์ ตลิ่งชัน ตลิ่งชัน กรุงเทพมหานคร กรุงเทพมหานคร (ตึกอาคารพาณิชย์ ติดหมู่บ้านคาซ่าเลเจนท์ ราชพฤกษ์-ปิ่นเกล้า)",5,฿฿,13.7926974,100.4492993,"https://www.google.com/maps/search/?api=1&query=13.7926974,100.4492993",https://img.wongnai.com/p/128x128/2023/12/12/9794582c94a94cd1b5a60505cd6a42e6.jpg,
Wanna Brew Coffee (วอนนาบรูวคอฟฟี่) - Coffee Everyday & Specialty Coffee,"15/12, 10 บางปลา บางพลี สมุทรปราการ สมุทรปราการ",4.2,฿,13.59789151,100.7267752,"https://www.google.com/maps/search/?api=1&query=13.597891512316,100.72677515934",https://img.wongnai.com/p/128x128/2024/03/02/98e71196c4a74041b76a29f933c1fdff.jpg,
น้ำใจ วุ้นกะทิ (Namjai Homemade),"199,199/1,199/2, กาญจนาภิเษก เสาธงหิน บางใหญ่ นนทบุรี นนทบุรี (เซ็นทรัล เวสเกต)",5,฿,13.8783572,100.4098625,"https://www.google.com/maps/search/?api=1&query=13.878357199999977,100.40986250000012",https://img.wongnai.com/p/128x128/2024/05/28/033eeacf7bbe448a8031e22a9edabd44.jpg,
Starbucks (สตาร์บัคส์),"บุญถาวรบางนา, บางพลีใหญ่ บางพลี สมุทรปราการ สมุทรปราการ",4.4,฿฿,13.645034,100.692043,"https://www.google.com/maps/search/?api=1&query=13.645034,100.692043",https://img.wongnai.com/p/128x128/2024/04/17/8f3f1ae1983f453bb3f1be74a770a06c.jpg,
ข้าวมาชิม (KAO MA CIM),"129/100, หมู่14 ราชาเทวะ บางพลี สมุทรปราการ สมุทรปราการ (หมู่บ้าน The plant)",,฿฿,13.69140779,100.7145487,"https://www.google.com/maps/search/?api=1&query=13.69140779083537,100.71454868919369",https://img.wongnai.com/p/128x128/2024/10/14/0f4c1bc4f0a246e2af62d44bc31aa076.jpg,
Potato Corner (โปเตโต้ คอร์เนอร์),"388, ซอยสายไหม56 สายไหม สายไหม กรุงเทพมหานคร กรุงเทพมหานคร (ิอยู่ในปั้ม ปตท.ข้้างห้องน้ำ)",,฿,13.9209529,100.6603981,"https://www.google.com/maps/search/?api=1&query=13.9209529,100.6603981",https://img.wongnai.com/p/128x128/2025/01/06/8141024924bf424cb0d8c7f8b5f9ec37.jpg,
ครัวปักษ์ใต้อาหารทะเล,"เอื้ออาทรปัญญา , ปัญญา บางชัน คลองสามวา กรุงเทพมหานคร กรุงเทพมหานคร (เอื้ออาทรปัญญา)",4.8,฿฿,13.8519386,100.7016026,"https://www.google.com/maps/search/?api=1&query=13.851938599999981,100.7016025999999",https://img.wongnai.com/p/128x128/deleted/2023/11/15/43a920d701ab4ca1a01737909bb93e38.jpg,
Pizza Hut (พิซซ่าฮัท),2279 ถนนพัฒนาการ กรุงเทพมหานคร,4.7,฿฿฿,13.737371,100.636163,"https://www.google.com/maps/search/?api=1&query=13.737371,100.636163",https://img.wongnai.com/p/128x128/2023/12/12/99f7aef82c294901b981cb7876c82dcf.jpg,
